,CaseID,ActivityID,CompleteTimestamp,case_spend_area_text
0,0,1,28.09.2018-10:36:00,7
1,0,3,31.10.2018-15:55:00,7
2,0,4,07.12.2018-09:08:00,7
3,1,1,30.07.2018-10:22:00,7
4,1,2,07.08.2018-14:29:00,7
5,1,3,03.10.2018-10:53:00,7
6,1,4,26.10.2018-11:02:00,7
7,2,1,13.09.2018-10:18:00,7
8,2,2,18.09.2018-13:35:00,7
9,2,3,16.10.2018-10:50:00,7
10,2,4,29.11.2018-16:15:00,7
11,3,1,28.02.2018-11:00:00,9
12,3,3,17.04.2018-17:53:00,9
13,3,4,09.05.2018-14:12:00,9
14,4,1,26.02.2018-13:41:00,9
15,4,2,01.03.2018-12:50:00,9
16,4,3,01.03.2018-17:42:00,9
17,4,4,09.03.2018-14:51:00,9
18,5,1,24.05.2018-08:46:00,7
19,5,2,31.05.2018-11:03:00,7
20,5,3,08.06.2018-12:00:00,7
21,5,4,05.07.2018-14:10:00,7
22,6,28,29.11.2018-00:00:00,10
23,6,1,29.11.2018-13:13:00,10
24,6,2,12.12.2018-11:44:00,10
25,6,3,12.12.2018-15:15:00,10
26,7,28,28.11.2018-00:00:00,10
27,7,21,29.11.2018-12:33:00,10
28,7,2,20.12.2018-09:33:00,10
29,7,3,24.12.2018-17:49:00,10
30,8,28,02.10.2018-00:00:00,7
31,8,1,02.10.2018-07:55:00,7
32,8,2,08.10.2018-08:12:00,7
33,8,3,18.10.2018-09:12:00,7
34,8,4,07.12.2018-09:04:00,7
35,9,1,27.09.2018-12:55:00,6
36,9,7,03.10.2018-14:18:00,6
37,9,2,02.11.2018-12:56:00,6
38,9,9,05.11.2018-11:37:00,6
39,10,28,26.10.2018-00:00:00,10
40,10,1,26.10.2018-11:22:00,10
41,10,3,31.12.2018-14:02:00,10
42,11,28,03.09.2018-00:00:00,13
43,11,1,03.09.2018-08:41:00,13
44,11,2,17.09.2018-15:13:00,13
45,12,1,04.06.2018-08:56:00,7
46,12,2,04.06.2018-09:43:00,7
47,12,3,06.08.2018-12:37:00,7
48,12,10,10.08.2018-16:52:00,7
49,12,4,30.08.2018-15:40:00,7
50,13,28,17.09.2018-00:00:00,11
51,13,1,17.09.2018-13:33:00,11
52,13,17,24.10.2018-10:50:00,11
53,13,17,05.11.2018-15:09:00,11
54,13,2,20.11.2018-11:18:00,11
55,13,3,22.11.2018-16:11:00,11
56,13,4,07.12.2018-09:03:00,11
57,14,1,03.07.2018-10:53:00,4
58,14,2,03.07.2018-11:32:00,4
59,14,3,07.07.2018-05:35:00,4
60,14,4,06.09.2018-14:06:00,4
61,15,1,22.02.2018-08:51:00,7
62,15,2,26.02.2018-17:22:00,7
63,15,3,28.02.2018-16:19:00,7
64,15,4,15.03.2018-14:14:00,7
65,16,1,01.10.2018-20:33:00,10
66,16,2,08.10.2018-12:30:00,10
67,16,3,09.10.2018-12:29:00,10
68,16,4,07.12.2018-09:04:00,10
69,17,28,27.09.2018-00:00:00,7
70,17,1,27.09.2018-09:54:00,7
71,17,15,03.10.2018-13:13:00,7
72,17,3,15.10.2018-14:50:00,7
73,17,4,08.11.2018-16:45:00,7
74,18,2,05.12.2018-16:39:00,10
75,18,3,06.12.2018-13:22:00,10
76,19,2,03.05.2018-10:18:00,10
77,19,3,08.06.2018-10:20:00,10
78,19,4,30.08.2018-15:36:00,10
79,20,28,01.10.2018-00:00:00,10
80,20,1,01.10.2018-18:11:00,10
81,20,2,16.10.2018-15:44:00,10
82,20,3,14.11.2018-11:05:00,10
83,20,10,20.11.2018-07:33:00,10
84,21,1,04.06.2018-11:39:00,7
85,21,3,12.07.2018-13:07:00,7
86,21,4,09.08.2018-14:29:00,7
87,22,1,02.02.2018-17:38:00,10
88,22,2,16.02.2018-11:38:00,10
89,22,3,24.02.2018-07:42:00,10
90,22,4,24.05.2018-13:32:00,10
91,23,1,04.12.2018-15:59:00,10
92,24,1,21.02.2018-10:46:00,10
93,24,21,21.02.2018-12:01:00,10
94,24,2,26.02.2018-13:54:00,10
95,24,3,27.02.2018-14:08:00,10
96,24,4,26.04.2018-11:14:00,10
97,25,1,15.03.2018-15:22:00,9
98,25,3,12.04.2018-15:16:00,9
99,25,4,09.05.2018-14:11:00,9
100,26,1,20.12.2018-14:33:00,10
101,27,24,14.12.2018-17:57:00,4
102,27,1,02.01.2019-13:12:00,4
103,27,24,02.01.2019-13:12:00,4
104,27,24,02.01.2019-14:06:00,4
105,27,3,02.01.2019-17:46:00,4
106,28,1,13.08.2018-09:39:00,7
107,28,3,13.09.2018-16:42:00,7
108,28,4,04.10.2018-16:49:00,7
109,29,1,30.03.2018-08:07:00,7
110,29,2,05.04.2018-17:36:00,7
111,29,3,13.04.2018-11:32:00,7
112,29,4,24.05.2018-13:34:00,7
