EVENT TIME: TIMESTAMP,EVENT CONCEPT:NAME,EVENT ORG:RESOURCE,CASE CONCEPT:NAME,CASE ITEM CATEGORY,CASE ITEM TYPE,EVENTID
03/05/18 10:52,Record Goods Receipt,user_000,2000000049_00001,"3-way match, invoice after GR",Standard,9
03/09/18 17:17,Record Invoice Receipt,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,10
05/09/18 14:10,Clear Invoice,user_002,2000000049_00001,"3-way match, invoice after GR",Standard,11
01/06/19 13:29,SRM: Created,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,0
01/06/19 14:29,SRM: Change was Transmitted,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,6
01/06/19 14:29,SRM: Complete,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,1
01/06/19 14:29,SRM: In Transfer to Execution Syst.,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,4
01/06/19 14:29,SRM: Ordered,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,5
01/06/19 14:29,SRM: Awaiting Approval,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,2
01/06/19 14:29,Create Purchase Order Item,user_000,2000000049_00001,"3-way match, invoice after GR",Standard,7
01/06/19 14:29,SRM: Document Completed,batch_00,2000000049_00001,"3-way match, invoice after GR",Standard,3
02/04/20 23:59,Vendor creates invoice,NONE,2000000049_00001,"3-way match, invoice after GR",Standard,8
06/01/18 14:11,Record Goods Receipt,user_000,2000013505_00001,"3-way match, invoice before GR",Standard,9
06/06/19 9:58,Record Invoice Receipt,user_013,2000013505_00001,"3-way match, invoice before GR",Standard,10
04/01/20 23:59,Vendor creates invoice,NONE,2000013505_00001,"3-way match, invoice before GR",Standard,8
06/04/20 14:02,Clear Invoice,user_002,2000013505_00001,"3-way match, invoice before GR",Standard,11
03/05/20 14:28,SRM: Created,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,0
03/05/20 16:28,SRM: Complete,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,1
03/05/20 16:28,SRM: In Transfer to Execution Syst.,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,5
03/05/20 16:28,SRM: Change was Transmitted,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,6
03/05/20 16:28,SRM: Awaiting Approval,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,2
03/05/20 16:28,SRM: Document Completed,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,3
03/05/20 16:28,SRM: Ordered,batch_00,2000013505_00001,"3-way match, invoice before GR",Standard,4
03/05/20 16:29,Create Purchase Order Item,user_000,2000013505_00001,"3-way match, invoice before GR",Standard,7
05/01/18 23:59,Vendor creates invoice,NONE,2000013587_00001,"3-way match, invoice before GR",Standard,8
05/08/18 9:47,Record Goods Receipt,user_000,2000013587_00001,"3-way match, invoice before GR",Standard,9
05/09/18 10:25,Record Invoice Receipt,user_012,2000013587_00001,"3-way match, invoice before GR",Standard,10
04/12/19 15:51,SRM: Created,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,0
04/12/19 17:51,SRM: Document Completed,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,3
04/12/19 17:51,SRM: Awaiting Approval,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,2
04/12/19 17:51,SRM: In Transfer to Execution Syst.,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,4
04/12/19 17:51,SRM: Complete,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,1
04/12/19 17:51,SRM: Ordered,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,5
04/12/19 17:52,SRM: Change was Transmitted,batch_00,2000013587_00001,"3-way match, invoice before GR",Standard,6
04/12/19 17:52,Create Purchase Order Item,user_000,2000013587_00001,"3-way match, invoice before GR",Standard,7
05/12/19 13:34,Clear Invoice,user_002,2000013587_00001,"3-way match, invoice before GR",Standard,11
07/12/19 7:55,SRM: Created,user_022,2000013596_00001,"3-way match, invoice after GR",Service,9
07/12/19 9:56,SRM: Document Completed,user_022,2000013596_00001,"3-way match, invoice after GR",Service,12
07/12/19 9:56,SRM: Complete,user_022,2000013596_00001,"3-way match, invoice after GR",Service,10
07/12/19 9:56,SRM: Awaiting Approval,user_022,2000013596_00001,"3-way match, invoice after GR",Service,11
07/12/19 11:24,SRM: Deleted,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,14
07/12/19 11:24,SRM: Ordered,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,13
07/12/19 11:25,SRM: In Transfer to Execution Syst.,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,15
07/12/19 11:25,Change Price,user_000,2000013596_00001,"3-way match, invoice after GR",Service,16
07/12/19 11:57,Record Goods Receipt,user_000,2000013596_00001,"3-way match, invoice after GR",Service,17
07/12/19 11:57,Record Service Entry Sheet,NONE,2000013596_00001,"3-way match, invoice after GR",Service,18
07/12/19 12:50,Record Invoice Receipt,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,19
05/01/20 23:59,Vendor creates invoice,NONE,2000013596_00001,"3-way match, invoice after GR",Service,8
04/02/20 7:51,SRM: Created,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,0
04/02/20 9:51,SRM: In Transfer to Execution Syst.,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,5
04/02/20 9:51,SRM: Complete,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,1
04/02/20 9:51,SRM: Awaiting Approval,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,2
04/02/20 9:51,SRM: Change was Transmitted,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,7
04/02/20 9:51,SRM: Ordered,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,4
04/02/20 9:51,SRM: Document Completed,batch_00,2000013596_00001,"3-way match, invoice after GR",Service,3
04/02/20 9:51,Create Purchase Order Item,user_000,2000013596_00001,"3-way match, invoice after GR",Service,6
07/02/20 18:09,Clear Invoice,user_002,2000013596_00001,"3-way match, invoice after GR",Service,20
06/05/18 23:59,Vendor creates invoice,NONE,2000013643_00001,"3-way match, invoice after GR",Service,8
06/06/18 10:42,Record Goods Receipt,user_000,2000013643_00001,"3-way match, invoice after GR",Service,9
06/06/18 10:42,Record Service Entry Sheet,NONE,2000013643_00001,"3-way match, invoice after GR",Service,10
07/11/18 15:57,Record Invoice Receipt,user_001,2000013643_00001,"3-way match, invoice after GR",Service,11
05/04/19 15:03,SRM: Created,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,0
05/04/19 17:03,SRM: Complete,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,1
05/04/19 17:03,SRM: Awaiting Approval,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,2
05/04/19 17:03,SRM: Ordered,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,6
05/04/19 17:03,SRM: In Transfer to Execution Syst.,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,5
05/04/19 17:03,SRM: Document Completed,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,3
05/04/19 17:03,SRM: Change was Transmitted,batch_00,2000013643_00001,"3-way match, invoice after GR",Service,7
05/04/19 17:03,Create Purchase Order Item,user_000,2000013643_00001,"3-way match, invoice after GR",Service,4
07/02/20 18:09,Clear Invoice,user_002,2000013643_00001,"3-way match, invoice after GR",Service,12
08/02/18 8:58,Record Goods Receipt,user_000,2000013653_00001,"3-way match, invoice after GR",Standard,9
08/02/18 11:35,Record Invoice Receipt,user_012,2000013653_00001,"3-way match, invoice after GR",Standard,10
05/06/19 14:13,SRM: Created,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,0
05/06/19 16:13,SRM: Awaiting Approval,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,2
05/06/19 16:13,SRM: Complete,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,1
05/06/19 16:13,SRM: Document Completed,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,3
05/06/19 16:14,SRM: Ordered,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,5
05/06/19 16:14,SRM: In Transfer to Execution Syst.,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,4
05/06/19 16:14,SRM: Change was Transmitted,batch_00,2000013653_00001,"3-way match, invoice after GR",Standard,6
05/06/19 16:14,Create Purchase Order Item,user_000,2000013653_00001,"3-way match, invoice after GR",Standard,7
05/12/19 23:59,Vendor creates invoice,NONE,2000013653_00001,"3-way match, invoice after GR",Standard,8
08/06/20 15:38,Clear Invoice,user_002,2000013653_00001,"3-way match, invoice after GR",Standard,11
06/06/18 7:27,SRM: Created,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,0
06/06/18 9:27,SRM: Awaiting Approval,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,2
06/06/18 9:27,SRM: Document Completed,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,3
06/06/18 9:27,SRM: Complete,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,1
06/06/18 9:28,SRM: Change was Transmitted,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,6
06/06/18 9:28,SRM: Ordered,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,5
06/06/18 9:28,Create Purchase Order Item,user_000,2000033455_00001,"3-way match, invoice before GR",Standard,7
06/06/18 9:28,SRM: In Transfer to Execution Syst.,batch_00,2000033455_00001,"3-way match, invoice before GR",Standard,4
06/07/18 8:53,Record Goods Receipt,user_000,2000033455_00001,"3-way match, invoice before GR",Standard,8
06/07/18 23:59,Vendor creates invoice,NONE,2000033455_00001,"3-way match, invoice before GR",Standard,9
07/03/20 15:34,Record Invoice Receipt,user_019,2000033455_00001,"3-way match, invoice before GR",Standard,10
08/06/20 15:36,Clear Invoice,user_002,2000033455_00001,"3-way match, invoice before GR",Standard,11
07/10/18 14:09,SRM: Created,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,0
07/10/18 16:09,SRM: Change was Transmitted,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,5
07/10/18 16:09,SRM: Complete,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,1
07/10/18 16:09,SRM: Ordered,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,4
07/10/18 16:09,SRM: Document Completed,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,3
07/10/18 16:09,SRM: Awaiting Approval,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,2
07/10/18 16:10,SRM: In Transfer to Execution Syst.,batch_00,2000033546_00001,"3-way match, invoice after GR",Standard,6
