CaseID,ActivityID,CompleteTimestamp
0,0,2018-09-28 10:36:00
0,2,2018-10-31 15:55:00
0,3,2018-07-12 09:08:00
1,0,2018-07-30 10:22:00
1,1,2018-07-08 14:29:00
1,2,2018-03-10 10:53:00
1,3,2018-10-26 11:02:00
2,0,2018-09-13 10:18:00
2,1,2018-09-18 13:35:00
2,2,2018-10-16 10:50:00
2,3,2018-11-29 16:15:00
3,0,2018-02-28 11:00:00
3,2,2018-04-17 17:53:00
3,3,2018-09-05 14:12:00
4,0,2018-02-26 13:41:00
4,1,2018-01-03 12:50:00
4,2,2018-01-03 17:42:00
4,3,2018-09-03 14:51:00
5,0,2018-05-24 08:46:00
5,1,2018-05-31 11:03:00
5,2,2018-08-06 12:00:00
5,3,2018-05-07 14:10:00
6,28,2018-11-29 00:00:00
6,0,2018-11-29 13:13:00
6,1,2018-12-12 11:44:00
6,2,2018-12-12 15:15:00
7,28,2018-11-28 00:00:00
7,21,2018-11-29 12:33:00
7,1,2018-12-20 09:33:00
7,2,2018-12-24 17:49:00
8,28,2018-02-10 00:00:00
8,0,2018-02-10 07:55:00
8,1,2018-08-10 08:12:00
8,2,2018-10-18 09:12:00
8,3,2018-07-12 09:04:00
9,0,2018-09-27 12:55:00
9,6,2018-03-10 14:18:00
9,1,2018-02-11 12:56:00
9,8,2018-05-11 11:37:00
10,28,2018-10-26 00:00:00
10,0,2018-10-26 11:22:00
10,2,2018-12-31 14:02:00
11,28,2018-03-09 00:00:00
11,0,2018-03-09 08:41:00
11,1,2018-09-17 15:13:00
12,0,2018-04-06 08:56:00
12,1,2018-04-06 09:43:00
12,2,2018-06-08 12:37:00
12,9,2018-10-08 16:52:00
12,3,2018-08-30 15:40:00
13,28,2018-09-17 00:00:00
13,0,2018-09-17 13:33:00
13,17,2018-10-24 10:50:00
13,17,2018-05-11 15:09:00
13,1,2018-11-20 11:18:00
13,2,2018-11-22 16:11:00
13,3,2018-07-12 09:03:00
14,0,2018-03-07 10:53:00
14,1,2018-03-07 11:32:00
14,2,2018-07-07 05:35:00
14,3,2018-06-09 14:06:00
15,0,2018-02-22 08:51:00
15,1,2018-02-26 17:22:00
15,2,2018-02-28 16:19:00
15,3,2018-03-15 14:14:00
16,0,2018-01-10 20:33:00
16,1,2018-08-10 12:30:00
16,2,2018-09-10 12:29:00
16,3,2018-07-12 09:04:00
17,28,2018-09-27 00:00:00
17,0,2018-09-27 09:54:00
17,14,2018-03-10 13:13:00
17,2,2018-10-15 14:50:00
17,3,2018-08-11 16:45:00
18,1,2018-05-12 16:39:00
18,2,2018-06-12 13:22:00
19,1,2018-03-05 10:18:00
19,2,2018-08-06 10:20:00
19,3,2018-08-30 15:36:00
20,28,2018-01-10 00:00:00
20,0,2018-01-10 18:11:00
20,1,2018-10-16 15:44:00
20,2,2018-11-14 11:05:00
20,9,2018-11-20 07:33:00
21,0,2018-04-06 11:39:00
21,2,2018-12-07 13:07:00
21,3,2018-09-08 14:29:00
22,0,2018-02-02 17:38:00
22,1,2018-02-16 11:38:00
22,2,2018-02-24 07:42:00
22,3,2018-05-24 13:32:00
23,0,2018-04-12 15:59:00
24,0,2018-02-21 10:46:00
24,21,2018-02-21 12:01:00
24,1,2018-02-26 13:54:00
24,2,2018-02-27 14:08:00
24,3,2018-04-26 11:14:00
25,0,2018-03-15 15:22:00
25,2,2018-12-04 15:16:00
25,3,2018-09-05 14:11:00
26,0,2018-12-20 14:33:00
27,24,2018-12-14 17:57:00
27,0,2019-02-01 13:12:00
27,24,2019-02-01 13:12:00
27,24,2019-02-01 14:06:00
27,2,2019-02-01 17:46:00
28,0,2018-08-13 09:39:00
28,2,2018-09-13 16:42:00
28,3,2018-04-10 16:49:00
29,0,2018-03-30 08:07:00
29,1,2018-05-04 17:36:00
29,2,2018-04-13 11:32:00
29,3,2018-05-24 13:34:00
30,0,2018-11-15 09:39:00
30,21,2018-11-16 10:32:00
30,1,2018-11-26 12:08:00
30,2,2018-05-12 16:41:00
31,0,2018-08-17 14:35:00
31,17,2018-11-27 14:42:00
31,2,2018-12-28 15:26:00
31,3,2019-03-01 16:11:00
32,0,2018-07-26 08:49:00
32,2,2018-06-08 16:48:00
32,3,2018-09-08 14:28:00
33,0,2018-08-30 09:49:00
33,21,2018-08-30 10:03:00
33,1,2018-03-09 15:57:00
33,2,2018-09-14 13:05:00
33,3,2018-07-12 09:06:00
34,0,2018-12-18 11:39:00
34,1,2019-01-14 11:22:00
35,0,2018-03-08 10:37:00
35,1,2018-06-08 17:43:00
35,2,2018-05-09 09:30:00
35,3,2018-09-28 10:28:00
36,0,2018-06-11 11:18:00
37,0,2018-08-01 11:50:00
37,17,2018-02-03 14:31:00
37,1,2018-02-03 15:23:00
37,1,2018-02-03 15:23:00
37,1,2018-02-03 15:24:00
37,1,2018-02-03 15:24:00
37,2,2018-03-23 13:13:00
37,3,2018-04-26 11:11:00
38,0,2018-10-12 09:42:00
39,0,2018-11-06 14:57:00
39,1,2018-06-07 11:01:00
40,0,2018-10-08 08:08:00
40,1,2018-08-29 07:40:00
40,2,2018-02-10 15:10:00
40,3,2018-04-10 16:50:00
41,28,2018-10-22 00:00:00
41,0,2018-10-22 20:23:00
41,17,2018-10-23 14:38:00
41,17,2018-10-26 10:59:00
41,1,2018-10-31 11:01:00
41,2,2018-02-11 16:45:00
42,0,2018-05-30 10:34:00
42,14,2018-04-06 10:22:00
42,1,2018-06-20 15:54:00
42,2,2018-06-22 17:43:00
42,3,2018-04-10 16:48:00
43,0,2018-05-14 17:58:00
43,1,2018-06-25 14:46:00
43,2,2018-06-25 14:49:00
43,3,2018-08-30 15:35:00
44,0,2018-08-29 09:52:00
44,21,2018-08-29 12:59:00
44,1,2018-12-09 11:15:00
44,2,2018-09-27 10:53:00
44,3,2018-07-12 09:06:00
45,28,2018-09-28 00:00:00
45,0,2018-09-28 07:49:00
45,1,2018-02-10 07:18:00
45,2,2018-10-15 14:24:00
45,3,2018-08-11 16:45:00
46,0,2018-03-27 07:43:00
46,1,2018-03-04 10:37:00
46,2,2018-04-17 13:24:00
46,9,2018-05-29 17:15:00
46,3,2018-05-31 12:33:00
47,0,2018-11-06 10:18:00
47,21,2018-11-06 10:45:00
47,1,2018-12-06 08:29:00
47,2,2018-06-13 13:18:00
47,3,2018-08-30 15:38:00
48,0,2018-11-29 10:24:00
48,17,2018-12-14 08:47:00
48,2,2019-09-01 09:29:00
48,17,2019-01-14 10:53:00
48,17,2019-01-14 11:36:00
48,17,2019-01-14 11:36:00
49,0,2018-05-30 09:03:00
49,1,2018-01-06 17:37:00
49,1,2018-01-06 17:37:00
49,2,2018-06-23 14:27:00
49,3,2018-07-26 18:07:00
50,0,2018-05-02 08:01:00
50,14,2018-05-02 12:56:00
50,1,2018-06-02 17:32:00
50,2,2018-03-22 09:07:00
50,3,2018-05-04 15:50:00
51,0,2018-02-15 16:35:00
51,1,2018-07-03 10:26:00
51,2,2018-03-17 10:39:00
51,3,2018-03-28 12:39:00
51,7,2018-03-28 12:39:00
51,2,2018-03-28 12:40:00
51,9,2018-03-28 17:00:00
51,3,2018-09-05 14:11:00
52,28,2018-07-09 00:00:00
52,0,2018-07-09 08:04:00
52,1,2018-09-13 08:32:00
52,2,2018-08-10 16:04:00
52,9,2018-11-19 06:03:00
52,3,2018-11-22 14:53:00
53,28,2018-08-11 00:00:00
53,0,2018-08-11 07:57:00
53,1,2018-09-11 17:34:00
53,2,2018-11-14 13:29:00
53,3,2018-07-12 09:04:00
54,0,2018-07-17 14:57:00
54,1,2018-07-08 11:23:00
55,0,2018-01-11 11:41:00
56,28,2018-12-12 00:00:00
56,0,2018-12-12 09:05:00
56,2,2018-12-24 07:30:00
56,1,2019-02-01 10:50:00
56,3,2019-10-01 15:45:00
57,0,2018-04-04 08:26:00
57,1,2018-04-19 18:47:00
57,2,2018-04-30 12:24:00
57,3,2018-05-24 13:35:00
58,0,2018-09-01 16:59:00
58,1,2018-01-22 21:01:00
59,0,2018-05-01 08:35:00
59,1,2018-01-18 10:25:00
60,0,2018-10-23 14:42:00
60,2,2018-11-15 14:54:00
61,0,2018-11-13 17:23:00
61,1,2018-11-27 09:44:00
61,2,2018-11-28 18:01:00
62,0,2018-03-22 10:31:00
62,2,2018-03-04 11:58:00
62,3,2018-04-26 11:15:00
63,0,2018-06-08 14:53:00
63,14,2018-06-08 15:14:00
63,1,2018-07-08 08:20:00
63,3,2018-04-10 16:49:00
64,0,2018-01-29 12:01:00
64,2,2018-06-02 10:51:00
64,3,2018-02-22 16:17:00
65,0,2018-06-25 11:28:00
65,1,2018-03-07 09:53:00
65,2,2018-07-18 15:47:00
65,3,2018-09-08 14:29:00
66,0,2018-01-30 11:41:00
66,1,2018-02-15 12:01:00
66,2,2018-02-16 09:08:00
66,3,2018-07-06 13:10:00
67,0,2018-05-16 09:28:00
67,2,2018-05-24 17:00:00
67,3,2018-01-06 11:41:00
68,0,2018-01-03 16:06:00
68,14,2018-03-13 10:28:00
68,1,2018-03-14 15:42:00
68,2,2018-03-15 14:51:00
68,3,2018-06-28 14:04:00
69,28,2018-09-13 00:00:00
69,0,2018-09-13 11:33:00
69,2,2018-09-19 13:29:00
69,1,2018-09-20 11:04:00
69,3,2018-09-27 10:27:00
70,0,2018-09-13 16:38:00
70,1,2018-10-26 20:55:00
71,0,2018-05-22 12:04:00
71,1,2018-05-31 14:23:00
72,28,2018-12-21 00:00:00
72,0,2018-12-21 08:42:00
73,0,2018-07-30 11:33:00
73,1,2018-08-30 15:02:00
73,2,2018-03-10 12:23:00
73,3,2018-10-26 11:01:00
74,0,2018-02-23 09:39:00
74,21,2018-02-23 11:00:00
74,1,2018-02-27 13:24:00
74,2,2018-01-03 15:03:00
74,3,2018-04-26 11:14:00
75,0,2018-01-25 15:24:00
75,2,2018-09-02 15:30:00
75,3,2018-05-04 15:50:00
76,28,2018-11-30 00:00:00
76,0,2018-11-30 07:20:00
76,1,2018-04-12 17:32:00
77,0,2018-12-06 09:18:00
77,1,2018-06-14 17:37:00
77,2,2018-06-29 10:10:00
77,3,2018-05-07 14:12:00
78,28,2018-11-30 00:00:00
78,0,2018-11-30 07:50:00
78,1,2018-03-12 17:37:00
78,3,2018-07-12 09:09:00
79,0,2018-07-20 10:38:00
79,1,2018-06-08 16:59:00
79,2,2018-09-08 14:11:00
79,9,2018-12-13 08:03:00
79,3,2018-12-13 14:08:00
80,0,2018-04-16 11:14:00
80,21,2018-04-16 12:34:00
80,1,2018-04-24 17:28:00
80,2,2018-04-26 11:41:00
80,3,2018-05-07 14:12:00
81,0,2018-10-31 10:03:00
81,1,2018-11-20 06:21:00
81,2,2018-11-20 09:43:00
81,3,2018-07-12 09:07:00
82,0,2018-11-27 09:53:00
82,17,2018-12-20 10:49:00
82,1,2018-12-20 15:13:00
82,1,2018-12-20 15:52:00
83,28,2018-09-27 00:00:00
83,21,2018-09-28 11:54:00
83,1,2018-05-10 16:23:00
83,2,2018-11-10 12:26:00
83,3,2018-11-29 16:15:00
84,0,2018-04-19 14:19:00
84,1,2018-09-05 12:19:00
84,1,2018-09-05 12:22:00
84,1,2018-09-05 12:26:00
84,1,2018-09-05 12:28:00
84,2,2018-05-25 14:26:00
84,3,2018-06-28 14:03:00
85,0,2018-05-04 11:12:00
85,24,2018-05-04 13:45:00
85,2,2018-06-04 11:31:00
86,0,2018-06-25 19:25:00
86,14,2018-03-08 11:16:00
86,2,2018-11-30 13:12:00
86,3,2018-07-12 16:19:00
87,0,2018-11-15 12:13:00
87,1,2018-11-19 11:20:00
87,2,2018-11-21 15:51:00
88,0,2018-04-13 12:50:00
88,1,2018-04-27 22:04:00
89,0,2018-01-30 16:48:00
89,1,2018-07-02 09:55:00
89,2,2018-02-15 12:39:00
89,3,2018-03-29 15:07:00
90,0,2018-09-04 19:42:00
90,21,2018-10-04 09:30:00
90,15,2018-10-04 11:18:00
91,0,2018-07-17 09:11:00
91,2,2018-07-19 11:03:00
91,1,2018-07-20 17:42:00
91,3,2018-07-26 18:06:00
92,0,2018-06-14 12:11:00
92,14,2018-06-08 17:02:00
92,9,2018-06-08 17:42:00
92,3,2018-08-30 15:39:00
93,0,2018-04-13 15:45:00
93,1,2018-11-05 09:38:00
93,2,2018-05-16 14:09:00
93,3,2018-09-08 14:28:00
94,0,2018-02-03 14:59:00
94,1,2018-06-03 10:41:00
94,2,2018-04-17 15:53:00
94,3,2018-09-05 14:12:00
95,0,2018-03-28 07:52:00
95,1,2018-03-30 07:10:00
95,2,2018-03-30 10:29:00
95,3,2018-04-19 14:46:00
96,0,2018-05-31 12:54:00
96,1,2018-05-31 12:55:00
97,0,2018-02-26 07:35:00
97,1,2018-01-03 09:10:00
97,2,2018-07-03 15:55:00
97,3,2018-03-29 15:06:00
98,21,2018-05-24 11:59:00
98,1,2018-05-30 11:01:00
98,2,2018-05-31 16:46:00
98,3,2018-08-30 15:38:00
99,0,2018-08-05 11:30:00
99,1,2018-05-16 15:09:00
99,2,2018-05-23 13:48:00
99,3,2018-05-07 14:11:00
100,0,2018-06-15 14:40:00
100,1,2018-11-07 12:34:00
100,2,2018-11-07 16:26:00
100,9,2018-09-24 16:10:00
100,3,2018-09-28 10:26:00
101,0,2018-01-25 08:59:00
101,1,2018-01-29 09:29:00
101,3,2018-08-03 13:22:00
102,0,2018-05-09 16:26:00
102,1,2018-11-09 10:55:00
102,2,2018-09-10 12:58:00
102,3,2018-08-11 16:44:00
103,28,2018-10-10 00:00:00
103,0,2018-10-10 09:48:00
103,1,2018-10-25 13:45:00
103,2,2018-10-30 14:40:00
103,3,2018-07-12 09:06:00
104,0,2018-04-04 08:26:00
104,1,2018-04-19 18:47:00
104,2,2018-04-30 12:24:00
104,3,2018-05-24 13:35:00
105,28,2018-09-16 00:00:00
105,0,2018-09-17 08:31:00
105,1,2018-09-19 07:32:00
105,2,2018-11-13 17:47:00
105,3,2018-11-15 15:35:00
106,0,2018-01-30 09:06:00
106,1,2018-02-02 12:51:00
106,2,2018-03-19 14:50:00
106,3,2018-04-26 11:13:00
107,0,2018-04-26 14:47:00
107,1,2018-05-15 16:31:00
107,2,2018-05-18 14:04:00
107,3,2018-06-09 14:06:00
108,0,2018-12-04 16:09:00
108,2,2018-05-31 14:30:00
108,1,2018-01-06 13:47:00
108,6,2018-01-06 13:49:00
108,1,2018-01-06 13:50:00
108,3,2018-08-30 15:40:00
109,21,2018-01-16 10:17:00
109,1,2018-01-19 12:31:00
109,2,2018-01-24 13:26:00
109,3,2018-04-26 11:13:00
110,0,2018-05-26 09:30:00
110,24,2018-05-29 09:51:00
110,14,2018-01-08 12:59:00
110,15,2018-11-16 16:42:00
111,1,2018-06-14 10:01:00
111,2,2018-01-08 12:12:00
111,3,2018-09-28 10:28:00
112,0,2018-01-22 10:19:00
112,2,2018-10-07 09:31:00
112,3,2018-10-07 15:00:00
113,0,2018-02-16 11:41:00
113,2,2018-03-13 11:24:00
113,3,2018-05-04 15:51:00
114,0,2018-08-16 13:13:00
114,17,2018-08-10 15:47:00
114,1,2018-09-10 07:14:00
114,2,2018-01-11 12:22:00
114,9,2018-11-14 11:22:00
114,3,2019-10-01 15:43:00
115,0,2018-10-07 15:02:00
115,1,2018-07-16 06:48:00
116,0,2018-03-19 18:16:00
116,14,2018-03-19 18:22:00
116,14,2018-03-20 14:35:00
116,1,2018-05-04 12:38:00
116,2,2018-05-25 11:23:00
116,3,2018-07-26 18:06:00
117,0,2018-09-20 10:34:00
117,1,2018-11-10 19:41:00
117,2,2018-10-18 12:11:00
118,0,2018-11-21 11:18:00
118,1,2018-11-22 08:21:00
118,2,2018-11-23 10:39:00
118,3,2018-11-12 12:05:00
119,0,2018-03-16 07:45:00
119,1,2018-03-21 17:50:00
119,2,2018-04-17 12:59:00
119,3,2018-09-05 14:10:00
120,28,2018-09-19 00:00:00
120,0,2018-09-19 08:02:00
120,1,2018-09-21 07:49:00
