CaseID,ActivityID,CompleteTimestamp
2000000049_00001,9,2018-03-05 10:52:00
2000000049_00001,10,2018-03-09 17:17:00
2000000049_00001,11,2018-05-09 14:10:00
2000000049_00001,0,2019-01-06 13:29:00
2000000049_00001,6,2019-01-06 14:29:00
2000000049_00001,1,2019-01-06 14:29:00
2000000049_00001,4,2019-01-06 14:29:00
2000000049_00001,5,2019-01-06 14:29:00
2000000049_00001,2,2019-01-06 14:29:00
2000000049_00001,7,2019-01-06 14:29:00
2000000049_00001,3,2019-01-06 14:29:00
2000000049_00001,8,2020-02-04 23:59:00
2000013505_00001,9,2018-06-01 14:11:00
2000013505_00001,10,2019-06-06 09:58:00
2000013505_00001,8,2020-04-01 23:59:00
2000013505_00001,11,2020-06-04 14:02:00
2000013505_00001,0,2020-03-05 14:28:00
2000013505_00001,1,2020-03-05 16:28:00
2000013505_00001,5,2020-03-05 16:28:00
2000013505_00001,6,2020-03-05 16:28:00
2000013505_00001,2,2020-03-05 16:28:00
2000013505_00001,3,2020-03-05 16:28:00
2000013505_00001,4,2020-03-05 16:28:00
2000013505_00001,7,2020-03-05 16:29:00
2000013587_00001,8,2018-05-01 23:59:00
2000013587_00001,9,2018-05-08 09:47:00
2000013587_00001,10,2018-05-09 10:25:00
2000013587_00001,0,2019-04-12 15:51:00
2000013587_00001,3,2019-04-12 17:51:00
2000013587_00001,2,2019-04-12 17:51:00
2000013587_00001,4,2019-04-12 17:51:00
2000013587_00001,1,2019-04-12 17:51:00
2000013587_00001,5,2019-04-12 17:51:00
2000013587_00001,6,2019-04-12 17:52:00
2000013587_00001,7,2019-04-12 17:52:00
2000013587_00001,11,2019-05-12 13:34:00
2000013596_00001,9,2019-07-12 07:55:00
2000013596_00001,12,2019-07-12 09:56:00
2000013596_00001,10,2019-07-12 09:56:00
2000013596_00001,11,2019-07-12 09:56:00
2000013596_00001,14,2019-07-12 11:24:00
2000013596_00001,13,2019-07-12 11:24:00
2000013596_00001,15,2019-07-12 11:25:00
2000013596_00001,16,2019-07-12 11:25:00
2000013596_00001,17,2019-07-12 11:57:00
2000013596_00001,18,2019-07-12 11:57:00
2000013596_00001,19,2019-07-12 12:50:00
2000013596_00001,8,2020-05-01 23:59:00
2000013596_00001,0,2020-04-02 07:51:00
2000013596_00001,5,2020-04-02 09:51:00
2000013596_00001,1,2020-04-02 09:51:00
2000013596_00001,2,2020-04-02 09:51:00
2000013596_00001,7,2020-04-02 09:51:00
2000013596_00001,4,2020-04-02 09:51:00
2000013596_00001,3,2020-04-02 09:51:00
2000013596_00001,6,2020-04-02 09:51:00
2000013596_00001,20,2020-07-02 18:09:00
2000013643_00001,8,2018-06-05 23:59:00
2000013643_00001,9,2018-06-06 10:42:00
2000013643_00001,10,2018-06-06 10:42:00
2000013643_00001,11,2018-07-11 15:57:00
2000013643_00001,0,2019-05-04 15:03:00
2000013643_00001,1,2019-05-04 17:03:00
2000013643_00001,2,2019-05-04 17:03:00
2000013643_00001,6,2019-05-04 17:03:00
2000013643_00001,5,2019-05-04 17:03:00
2000013643_00001,3,2019-05-04 17:03:00
2000013643_00001,7,2019-05-04 17:03:00
2000013643_00001,4,2019-05-04 17:03:00
2000013643_00001,12,2020-07-02 18:09:00
2000013653_00001,9,2018-08-02 08:58:00
2000013653_00001,10,2018-08-02 11:35:00
2000013653_00001,0,2019-05-06 14:13:00
2000013653_00001,2,2019-05-06 16:13:00
2000013653_00001,1,2019-05-06 16:13:00
2000013653_00001,3,2019-05-06 16:13:00
2000013653_00001,5,2019-05-06 16:14:00
2000013653_00001,4,2019-05-06 16:14:00
2000013653_00001,6,2019-05-06 16:14:00
2000013653_00001,7,2019-05-06 16:14:00
2000013653_00001,8,2019-05-12 23:59:00
2000013653_00001,11,2020-08-06 15:38:00
2000033455_00001,0,2018-06-06 07:27:00
2000033455_00001,2,2018-06-06 09:27:00
2000033455_00001,3,2018-06-06 09:27:00
2000033455_00001,1,2018-06-06 09:27:00
2000033455_00001,6,2018-06-06 09:28:00
2000033455_00001,5,2018-06-06 09:28:00
2000033455_00001,7,2018-06-06 09:28:00
2000033455_00001,4,2018-06-06 09:28:00
2000033455_00001,8,2018-06-07 08:53:00
2000033455_00001,9,2018-06-07 23:59:00
2000033455_00001,10,2020-07-03 15:34:00
2000033455_00001,11,2020-08-06 15:36:00
2000033546_00001,0,2018-07-10 14:09:00
2000033546_00001,5,2018-07-10 16:09:00
2000033546_00001,1,2018-07-10 16:09:00
2000033546_00001,4,2018-07-10 16:09:00
2000033546_00001,3,2018-07-10 16:09:00
2000033546_00001,2,2018-07-10 16:09:00
2000033546_00001,6,2018-07-10 16:10:00
2000033546_00001,7,2018-07-10 16:10:00
2000033546_00001,8,2018-07-12 23:59:00
2000033546_00001,9,2019-10-05 14:28:00
2000033546_00001,10,2019-10-06 10:27:00
2000033546_00001,11,2020-10-02 11:02:00
2000033563_00001,8,2018-08-09 23:59:00
2000033563_00001,10,2018-08-10 05:59:00
2000033563_00001,9,2018-08-10 05:59:00
2000033563_00001,11,2018-09-11 15:45:00
2000033563_00001,0,2019-07-05 19:55:00
2000033563_00001,3,2019-07-05 21:55:00
2000033563_00001,5,2019-07-05 21:55:00
2000033563_00001,2,2019-07-05 21:55:00
2000033563_00001,6,2019-07-05 21:55:00
2000033563_00001,1,2019-07-05 21:55:00
2000033563_00001,7,2019-07-05 21:55:00
2000033563_00001,4,2019-07-05 21:55:00
2000033563_00001,12,2020-10-02 11:04:00
2000033575_00001,10,2018-08-01 11:16:00
2000033575_00001,9,2018-08-01 11:16:00
2000033575_00001,0,2018-07-05 23:59:00
2000033575_00001,11,2018-08-06 13:37:00
2000033575_00001,1,2019-07-12 13:37:00
2000033575_00001,8,2019-07-12 15:38:00
2000033575_00001,3,2019-07-12 15:38:00
2000033575_00001,2,2019-07-12 15:38:00
2000033575_00001,6,2019-07-12 15:38:00
2000033575_00001,7,2019-07-12 15:38:00
2000033575_00001,5,2019-07-12 15:38:00
2000033575_00001,4,2019-07-12 15:38:00
2000033575_00001,12,2020-08-06 15:41:00
2000033635_00001,8,2018-10-02 12:36:00
2000033635_00001,10,2018-10-02 14:37:00
2000033635_00001,9,2018-10-02 14:37:00
2000033635_00001,11,2018-10-02 14:37:00
2000033635_00001,15,2018-10-02 16:05:00
2000033635_00001,13,2018-10-02 16:05:00
2000033635_00001,12,2018-10-02 16:05:00
2000033635_00001,14,2018-10-02 16:05:00
2000033635_00001,16,2018-10-02 23:59:00
2000033635_00001,17,2018-10-10 23:35:00
2000033635_00001,18,2018-10-10 23:35:00
2000033635_00001,19,2018-10-11 14:42:00
2000033635_00001,20,2020-10-02 11:03:00
2000033635_00001,0,2020-08-07 11:53:00
2000033635_00001,2,2020-08-07 13:53:00
2000033635_00001,3,2020-08-07 13:53:00
2000033635_00001,1,2020-08-07 13:53:00
2000033635_00001,6,2020-08-07 13:54:00
2000033635_00001,7,2020-08-07 13:54:00
2000033635_00001,5,2020-08-07 13:54:00
2000033635_00001,4,2020-08-07 13:54:00
2000052754_00001,10,2018-11-05 13:05:00
2000052754_00001,9,2018-11-05 13:05:00
2000052754_00001,11,2018-11-05 13:09:00
2000052754_00001,0,2018-10-07 15:16:00
2000052754_00001,7,2018-10-07 17:17:00
2000052754_00001,5,2018-10-07 17:17:00
2000052754_00001,2,2018-10-07 17:17:00
2000052754_00001,1,2018-10-07 17:17:00
2000052754_00001,3,2018-10-07 17:17:00
2000052754_00001,6,2018-10-07 17:17:00
2000052754_00001,4,2018-10-07 17:17:00
2000052754_00001,8,2018-10-12 23:59:00
2000052754_00001,12,2019-01-04 23:59:00
4507000222_00020,0,2018-01-02 03:43:00
4507000222_00020,1,2018-01-02 11:04:00
4507000222_00020,2,2018-01-05 13:37:00
4507000222_00020,3,2018-01-05 18:00:00
4507000222_00020,4,2018-01-05 23:59:00
4507000222_00020,5,2020-04-02 11:13:00
4507000230_00070,6,2018-02-01 15:15:00
4507000230_00070,9,2018-03-01 14:05:00
4507000230_00070,0,2018-01-02 07:31:00
4507000230_00070,1,2018-01-08 23:59:00
4507000230_00070,2,2018-01-10 11:29:00
4507000230_00070,3,2019-01-06 23:59:00
4507000230_00070,4,2019-01-07 17:31:00
4507000230_00070,7,2019-02-10 16:17:00
4507000230_00070,8,2019-02-10 16:54:00
4507000230_00070,5,2020-01-05 13:48:00
4507000235_00030,0,2018-01-02 07:41:00
4507000235_00030,1,2018-02-06 23:59:00
4507000235_00030,2,2018-02-07 17:34:00
4507000235_00030,3,2019-02-04 08:39:00
4507000235_00030,4,2020-03-05 15:06:00
4507000235_00040,0,2018-01-02 07:41:00
4507000235_00040,1,2018-01-08 17:32:00
4507000235_00040,2,2018-01-08 23:59:00
4507000235_00040,3,2018-01-10 11:24:00
4507000235_00040,4,2019-02-10 16:15:00
4507000239_00020,0,2018-01-02 07:48:00
4507000239_00020,1,2018-01-03 23:59:00
4507000239_00020,2,2018-01-05 11:08:00
4507000239_00020,3,2018-01-09 16:18:00
4507000239_00020,4,2020-01-01 16:54:00
4507000251_00030,0,2018-01-02 08:14:00
4507000251_00030,1,2018-01-03 17:32:00
4507000251_00030,2,2018-01-03 23:59:00
4507000251_00030,3,2018-01-04 11:04:00
4507000251_00030,4,2020-01-01 16:51:00
4507000255_00010,0,2018-01-02 08:50:00
4507000255_00010,1,2018-01-12 10:38:00
4507000255_00010,2,2019-01-03 23:59:00
4507000255_00010,3,2019-01-04 09:59:00
4507000255_00010,4,2019-02-10 16:15:00
4507000255_00040,0,2018-01-02 08:50:00
4507000255_00040,1,2018-01-08 10:57:00
4507000255_00040,2,2019-01-03 23:59:00
4507000255_00040,3,2019-01-04 09:45:00
4507000255_00040,4,2019-02-10 16:15:00
4507000257_00040,0,2018-01-02 09:04:00
4507000257_00040,1,2018-01-05 23:59:00
4507000257_00040,2,2018-01-09 09:38:00
4507000257_00040,3,2019-01-03 14:18:00
4507000257_00040,4,2019-03-07 16:25:00
4507000257_00040,5,2020-03-05 15:08:00
4507000257_00060,0,2018-01-02 09:04:00
4507000257_00060,1,2018-01-05 23:59:00
4507000257_00060,2,2018-01-09 10:46:00
4507000257_00060,3,2019-01-03 14:18:00
4507000257_00060,4,2019-03-07 16:25:00
4507000257_00060,5,2020-03-05 15:08:00
4507000257_00150,0,2018-01-02 09:04:00
4507000257_00150,1,2018-01-05 23:59:00
4507000257_00150,2,2018-01-09 11:21:00
4507000257_00150,3,2019-01-03 14:18:00
4507000257_00150,4,2019-03-07 16:25:00
4507000257_00150,5,2020-03-05 15:08:00
4507000262_00010,0,2018-01-02 09:24:00
4507000262_00010,4,2018-02-08 12:12:00
4507000262_00010,1,2018-01-10 14:11:00
4507000262_00010,2,2019-01-04 23:59:00
4507000262_00010,3,2019-01-05 09:19:00
4507000262_00010,5,2020-03-05 15:07:00
4507000282_00020,0,2018-01-02 11:06:00
4507000282_00020,1,2018-01-04 23:59:00
4507000282_00020,2,2018-01-08 08:23:00
4507000282_00020,3,2018-01-08 17:56:00
4507000282_00020,4,2020-03-05 15:07:00
4507000322_00070,0,2018-01-02 11:47:00
4507000322_00070,1,2018-02-08 13:59:00
4507000322_00070,2,2019-03-02 20:35:00
4507000322_00070,3,2019-03-03 23:59:00
4507000322_00070,4,2019-03-12 06:03:00
4507000322_00070,5,2020-04-02 11:14:00
4507000322_00080,0,2018-01-02 11:47:00
4507000322_00080,13,2018-05-03 16:02:00
4507000322_00080,17,2018-10-04 16:49:00
4507000322_00080,8,2018-04-05 11:08:00
4507000322_00080,1,2018-02-08 13:59:00
4507000322_00080,3,2018-03-08 11:05:00
4507000322_00080,10,2019-04-01 23:59:00
4507000322_00080,9,2019-04-01 23:59:00
4507000322_00080,4,2019-03-03 15:16:00
4507000322_00080,11,2019-04-04 16:55:00
4507000322_00080,5,2019-03-11 15:25:00
4507000322_00080,12,2020-04-02 11:14:00
4507000322_00080,2,2020-02-04 23:59:00
4507000322_00080,14,2020-09-04 16:10:00
4507000322_00080,15,2020-09-04 16:11:00
4507000322_00080,16,2020-09-04 16:17:00
4507000322_00080,6,2020-03-05 15:09:00
4507000322_00080,7,2020-03-05 23:59:00
4507000322_00200,0,2018-01-02 11:47:00
4507000322_00200,11,2018-04-05 11:08:00
4507000322_00200,1,2018-02-08 13:59:00
4507000322_00200,3,2018-03-08 11:05:00
4507000322_00200,4,2018-03-09 09:55:00
4507000322_00200,5,2018-03-09 23:59:00
4507000322_00200,6,2019-03-02 17:46:00
4507000322_00200,7,2019-03-03 15:16:00
4507000322_00200,8,2019-03-11 15:25:00
4507000322_00200,12,2020-04-02 11:14:00
4507000322_00200,2,2020-02-04 23:59:00
4507000322_00200,9,2020-03-05 15:09:00
4507000322_00200,10,2020-03-05 23:59:00
4507000322_00230,0,2018-01-02 11:47:00
4507000322_00230,1,2018-02-08 13:59:00
4507000322_00230,4,2019-03-02 20:35:00
4507000322_00230,5,2019-03-03 15:16:00
4507000322_00230,6,2019-03-03 23:59:00
4507000322_00230,7,2019-03-12 06:03:00
4507000322_00230,9,2020-04-02 11:14:00
4507000322_00230,2,2020-02-04 06:55:00
4507000322_00230,3,2020-02-04 23:59:00
4507000322_00230,8,2020-03-05 15:09:00
4507000340_00010,0,2018-01-02 12:08:00
4507000340_00010,1,2019-01-06 23:59:00
4507000340_00010,2,2019-01-11 13:42:00
4507000340_00010,3,2019-01-12 13:12:00
4507000340_00010,4,2020-03-05 15:08:00
4507000350_00010,2,2018-02-01 10:25:00
4507000350_00010,0,2018-01-02 12:15:00
4507000350_00010,3,2018-02-06 14:57:00
4507000350_00010,4,2018-03-08 13:21:00
4507000350_00010,1,2019-01-11 23:59:00
4507000360_00010,0,2018-01-02 12:33:00
4507000360_00010,4,2018-02-06 14:49:00
4507000360_00010,1,2019-01-04 23:59:00
4507000360_00010,2,2019-01-06 09:48:00
4507000360_00010,3,2019-01-06 16:43:00
4507000360_00010,5,2019-03-10 13:31:00
4507000366_00010,0,2018-01-02 12:47:00
4507000366_00010,1,2019-02-02 23:59:00
4507000366_00010,2,2019-02-03 03:39:00
4507000366_00010,3,2019-02-04 07:35:00
4507000366_00010,4,2020-04-02 11:13:00
4507000368_00020,0,2018-01-02 12:50:00
4507000368_00020,1,2018-01-09 23:59:00
4507000368_00020,2,2018-01-10 10:11:00
4507000368_00020,3,2018-01-11 13:51:00
4507000368_00020,4,2019-03-02 17:27:00
4507000368_00020,5,2020-03-05 15:08:00
4507000377_00020,0,2018-01-02 13:32:00
4507000377_00020,1,2018-01-09 15:53:00
4507000377_00020,2,2018-01-10 23:59:00
4507000377_00020,3,2019-03-01 10:59:00
4507000377_00020,4,2019-03-09 16:06:00
4507000377_00020,5,2020-04-02 11:14:00
4507000377_00050,0,2018-01-02 13:32:00
4507000377_00050,1,2018-01-09 15:53:00
4507000377_00050,2,2018-01-10 23:59:00
4507000377_00050,4,2019-03-01 10:59:00
4507000377_00050,3,2019-01-03 23:59:00
4507000377_00050,5,2019-03-09 15:43:00
4507000377_00050,6,2019-03-09 16:06:00
4507000377_00050,7,2020-04-02 11:14:00
4507000386_00010,0,2018-01-02 13:44:00
4507000386_00010,1,2018-01-03 17:20:00
4507000386_00010,2,2018-01-05 14:35:00
4507000386_00010,3,2018-01-10 23:59:00
4507000386_00010,6,2019-02-03 17:06:00
4507000386_00010,4,2019-01-04 12:25:00
4507000386_00010,5,2019-01-05 14:47:00
4507000386_00010,7,2020-03-05 15:09:00
4507000400_00070,0,2018-01-02 14:21:00
4507000400_00070,1,2018-01-04 23:59:00
