Case ID,Activity,Complete Timestamp
Case1,Assign seriousness,2012-10-09T14:50:17.000+03:00
Case1,Take in charge ticket,2012-10-09T14:51:01.000+03:00
Case1,Take in charge ticket,2012-10-12T15:02:56.000+03:00
Case1,Resolve ticket,2012-10-25T11:54:26.000+03:00
Case1,Closed,2012-11-09T12:54:39.000+02:00
Case2,Assign seriousness,2012-04-03T08:55:38.000+03:00
Case2,Take in charge ticket,2012-04-03T08:55:53.000+03:00
Case2,Resolve ticket,2012-04-05T09:15:52.000+03:00
Case2,Closed,2012-05-19T09:00:28.000+03:00
Case3,Assign seriousness,2010-10-29T10:14:06.000+03:00
Case3,Take in charge ticket,2010-11-03T16:16:11.000+02:00
Case3,Resolve ticket,2010-11-03T16:21:17.000+02:00
Case3,Closed,2010-11-30T11:20:18.000+02:00
Case4,Assign seriousness,2010-12-15T14:31:53.000+02:00
Case4,Take in charge ticket,2010-12-16T08:01:07.000+02:00
Case4,Resolve ticket,2010-12-16T08:08:19.000+02:00
Case4,Closed,2011-02-12T14:40:42.000+02:00
Case5,Assign seriousness,2012-04-03T13:08:32.000+03:00
Case5,Take in charge ticket,2012-04-03T13:45:33.000+03:00
Case5,Resolve ticket,2012-04-03T13:47:22.000+03:00
Case5,Take in charge ticket,2012-04-03T14:15:02.000+03:00
Case5,Resolve ticket,2012-04-03T16:07:28.000+03:00
Case5,Closed,2012-05-25T13:10:28.000+03:00
Case6,Assign seriousness,2011-10-25T15:13:58.000+03:00
Case6,Take in charge ticket,2011-10-25T15:58:55.000+03:00
Case6,Resolve ticket,2011-10-26T09:54:46.000+03:00
Case6,Closed,2011-12-10T16:20:56.000+02:00
Case7,Assign seriousness,2013-11-06T10:47:35.000+02:00
Case7,Assign seriousness,2013-11-06T10:48:53.000+02:00
Case7,Assign seriousness,2013-11-22T08:00:08.000+02:00
Case7,Take in charge ticket,2013-11-25T08:18:07.000+02:00
Case7,Resolve ticket,2013-11-25T08:57:19.000+02:00
Case7,Closed,2013-12-10T08:57:37.000+02:00
Case8,Assign seriousness,2012-07-05T08:30:32.000+03:00
Case8,Take in charge ticket,2012-07-05T09:25:45.000+03:00
Case8,Resolve ticket,2012-07-05T09:44:46.000+03:00
Case8,Closed,2012-09-02T08:40:27.000+03:00
Case9,Insert ticket,2010-05-07T13:02:21.000+03:00
Case9,Assign seriousness,2010-05-07T13:02:34.000+03:00
Case9,Take in charge ticket,2010-05-24T10:26:28.000+03:00
Case9,Resolve ticket,2010-05-25T15:35:44.000+03:00
Case9,Closed,2010-06-09T15:35:56.000+03:00
Case10,Assign seriousness,2010-02-10T08:50:20.000+02:00
Case10,Take in charge ticket,2010-03-19T08:47:06.000+02:00
Case10,Resolve ticket,2010-03-19T08:47:13.000+02:00
