CaseID,ActivityID,CompleteTimestamp
1,1,2007-03-19 23:00:00
1,2,2007-07-16 22:00:00
1,3,2007-08-01 22:00:00
1,4,2007-09-30 22:00:00
1,5,2009-03-29 22:00:00
2,1,2006-08-01 22:00:00
2,2,2006-12-11 23:00:00
2,3,2006-12-30 23:00:00
2,4,2007-02-28 23:00:00
2,5,2009-03-29 22:00:00
3,1,2007-03-22 23:00:00
3,2,2007-08-01 22:00:00
3,3,2007-08-19 22:00:00
3,4,2007-10-18 22:00:00
3,5,2009-03-29 22:00:00
4,1,2007-03-06 23:00:00
4,2,2007-07-16 22:00:00
5,1,2007-03-08 23:00:00
5,2,2007-07-16 22:00:00
5,3,2007-08-01 22:00:00
5,4,2007-09-30 22:00:00
5,5,2009-03-29 22:00:00
6,1,2007-03-08 23:00:00
6,2,2007-07-16 22:00:00
6,3,2007-08-01 22:00:00
6,4,2007-09-30 22:00:00
6,5,2009-03-29 22:00:00
7,1,2007-03-09 23:00:00
7,2,2007-07-16 22:00:00
8,1,2007-03-09 23:00:00
8,2,2007-07-16 22:00:00
9,1,2007-03-13 23:00:00
9,6,2007-03-15 23:00:00
10,1,2007-03-10 23:00:00
10,2,2007-07-16 22:00:00
10,3,2007-07-22 22:00:00
10,4,2007-09-20 22:00:00
10,5,2009-03-29 22:00:00
11,1,2007-03-10 23:00:00
11,6,2007-03-12 23:00:00
12,1,2007-03-10 23:00:00
12,2,2007-07-16 22:00:00
12,3,2007-07-22 22:00:00
12,4,2007-09-20 22:00:00
12,6,2007-09-20 22:00:00
13,1,2007-03-11 23:00:00
13,2,2007-08-01 22:00:00
13,3,2007-08-08 22:00:00
13,4,2007-10-07 22:00:00
13,5,2009-03-29 22:00:00
14,1,2007-03-05 23:00:00
14,2,2007-07-16 22:00:00
14,3,2007-07-22 22:00:00
14,4,2007-09-20 22:00:00
14,5,2009-03-29 22:00:00
15,1,2007-03-07 23:00:00
15,2,2007-07-16 22:00:00
16,1,2007-03-09 23:00:00
16,2,2007-07-16 22:00:00
17,1,2007-03-09 23:00:00
17,2,2007-07-16 22:00:00
18,1,2007-03-10 23:00:00
18,6,2007-03-13 23:00:00
19,1,2007-03-08 23:00:00
19,2,2007-07-16 22:00:00
19,3,2007-07-26 22:00:00
19,4,2007-09-24 22:00:00
19,5,2009-03-29 22:00:00
20,1,2007-03-10 23:00:00
20,6,2007-03-11 23:00:00
21,1,2007-03-13 23:00:00
21,2,2007-07-16 22:00:00
22,1,2007-03-16 23:00:00
22,6,2007-03-19 23:00:00
23,1,2007-03-17 23:00:00
23,6,2007-03-20 23:00:00
24,1,2007-03-17 23:00:00
24,6,2007-03-17 23:00:00
25,1,2007-03-17 23:00:00
25,2,2007-07-16 22:00:00
26,1,2007-03-24 23:00:00
26,6,2007-03-27 22:00:00
27,1,2007-03-29 22:00:00
27,6,2007-04-05 22:00:00
28,1,2007-03-29 22:00:00
28,6,2007-04-01 22:00:00
29,1,2007-04-06 22:00:00
29,2,2007-08-01 22:00:00
29,3,2007-08-13 22:00:00
29,4,2007-10-12 22:00:00
29,5,2009-03-29 22:00:00
30,1,2007-05-17 22:00:00
30,2,2007-08-19 22:00:00
30,3,2007-09-07 22:00:00
30,4,2007-11-06 23:00:00
30,5,2009-03-29 22:00:00
31,1,2007-06-22 22:00:00
31,2,2007-09-12 22:00:00
32,1,2007-07-10 22:00:00
32,2,2007-09-12 22:00:00
32,3,2007-10-12 22:00:00
32,4,2007-12-11 23:00:00
32,5,2009-03-29 22:00:00
33,1,2007-03-14 23:00:00
33,2,2007-07-16 22:00:00
34,1,2007-03-19 23:00:00
34,2,2007-07-16 22:00:00
34,3,2007-07-24 22:00:00
34,4,2007-09-22 22:00:00
34,5,2009-03-29 22:00:00
35,1,2007-03-26 22:00:00
35,2,2007-08-19 22:00:00
36,1,2007-03-27 22:00:00
36,6,2007-04-22 22:00:00
37,1,2007-03-30 22:00:00
37,2,2007-07-16 22:00:00
38,1,2007-03-14 23:00:00
38,2,2007-07-16 22:00:00
38,3,2007-07-23 22:00:00
38,4,2007-09-21 22:00:00
38,5,2009-03-29 22:00:00
39,1,2007-03-17 23:00:00
39,2,2007-07-16 22:00:00
39,3,2007-07-24 22:00:00
39,4,2007-09-22 22:00:00
39,5,2009-03-29 22:00:00
40,1,2007-03-18 23:00:00
40,2,2007-08-01 22:00:00
41,1,2007-03-25 22:00:00
41,2,2007-07-16 22:00:00
42,1,2007-04-01 22:00:00
42,2,2007-08-01 22:00:00
42,3,2007-08-08 22:00:00
42,4,2007-10-07 22:00:00
42,5,2009-03-29 22:00:00
43,1,2007-04-21 22:00:00
43,2,2007-07-16 22:00:00
44,1,2006-08-06 22:00:00
44,2,2006-12-12 23:00:00
44,3,2007-01-02 23:00:00
44,4,2007-03-03 23:00:00
44,5,2009-03-29 22:00:00
45,1,2007-03-10 23:00:00
45,2,2007-07-16 22:00:00
46,1,2007-03-15 23:00:00
46,6,2007-03-19 23:00:00
47,1,2007-03-15 23:00:00
47,6,2007-04-04 22:00:00
48,1,2007-03-20 23:00:00
48,2,2007-08-01 22:00:00
48,3,2007-08-08 22:00:00
48,4,2007-10-07 22:00:00
48,6,2007-10-07 22:00:00
49,1,2007-03-30 22:00:00
49,6,2007-04-05 22:00:00
50,1,2007-07-26 22:00:00
50,2,2007-09-12 22:00:00
50,3,2007-09-21 22:00:00
50,4,2007-11-20 23:00:00
50,5,2009-03-29 22:00:00
51,1,2007-09-15 22:00:00
51,2,2007-12-26 23:00:00
52,1,2007-09-28 22:00:00
52,2,2008-01-17 23:00:00
52,3,2008-02-10 23:00:00
52,4,2008-04-10 22:00:00
52,5,2009-03-29 22:00:00
53,1,2007-10-18 22:00:00
53,2,2008-01-17 23:00:00
53,3,2008-01-30 23:00:00
53,4,2008-03-30 22:00:00
53,5,2009-03-29 22:00:00
54,1,2007-03-31 22:00:00
54,2,2007-10-30 23:00:00
55,1,2007-03-31 22:00:00
55,2,2007-08-01 22:00:00
55,3,2007-08-08 22:00:00
55,4,2007-10-07 22:00:00
55,6,2008-01-13 23:00:00
55,6,2008-05-04 22:00:00
56,1,2007-03-20 23:00:00
56,2,2007-07-16 22:00:00
56,3,2007-07-24 22:00:00
56,4,2007-09-22 22:00:00
56,5,2009-03-29 22:00:00
57,1,2007-03-24 23:00:00
57,6,2007-03-25 22:00:00
58,1,2007-04-06 22:00:00
58,6,2007-04-09 22:00:00
59,1,2007-04-06 22:00:00
59,6,2007-08-20 22:00:00
60,1,2007-03-25 22:00:00
60,2,2007-08-01 22:00:00
60,3,2007-08-15 22:00:00
60,4,2007-10-14 22:00:00
60,5,2009-03-29 22:00:00
61,1,2007-03-31 22:00:00
61,2,2007-08-01 22:00:00
61,3,2007-08-08 22:00:00
61,4,2007-10-07 22:00:00
61,5,2009-03-29 22:00:00
62,1,2007-03-31 22:00:00
62,2,2007-08-01 22:00:00
62,3,2007-08-09 22:00:00
62,4,2007-10-08 22:00:00
